"Ne"	"n_p"	"r_m"	"z1_opt"	"z2_opt"	"r_selection"	"ln_z1"	"ln_z2"	"var1"	"var_2"
"136"	1000	30	0.9	1	1	0	-0.010917130549659	-0.0181577215153437	0.00462963460115761	0.00535708542586695
"137"	1000	30	0.9	1	1	0.5	-0.00648521059654814	-0.00923374307479729	0.00433519589810789	0.00322356921794772
"138"	1000	30	0.9	1	1	0.9	0.0282164790446342	0.0268144285100303	0.00548131833838504	0.00701649182475696
"139"	1000	30	0.9	1	1	-0.5	0.00216927278206528	0.00344035027410205	0.00352215810065744	0.00535707810348777
"140"	1000	30	0.9	1	1	-0.9	-0.00466848543384231	-0.0191709665797808	0.0029435328404414	0.00332047765383771
"141"	1000	30	0.5	10	1	0	0.0936477475337372	0.0420677477504314	0.00590763647334676	0.00575674887441399
"142"	1000	30	0.5	10	1	0.5	0.149439281562221	-0.014526523201639	0.00409934947185393	0.00231009500609843
"143"	1000	30	0.5	10	1	0.9	0.397657515895671	-0.304546589416936	0.00499336379416621	0.00512067871454875
"144"	1000	30	0.5	10	1	-0.5	0.168596284314039	0.117489905286422	0.00605243412328946	0.00390639446209264
"145"	1000	30	0.5	10	1	-0.9	0.580816325331945	0.541938277209466	0.00481746462607779	0.00354294068291165
"146"	1000	30	0.5	10	10	0	0.117625591121953	0.138575073107313	0.00366298244141342	0.00432982821913009
"147"	1000	30	0.5	10	10	0.5	0.0925665800529267	0.0821341615128535	0.00223498938912548	0.00358119361085253
"148"	1000	30	0.5	10	10	0.9	0.110121767293159	0.0808901860264155	0.00358119225768548	0.00636427599400819
"149"	1000	30	0.5	10	10	-0.5	0.305255821863121	0.318152254700547	0.00837618264967945	0.00555892109760699
"150"	1000	30	0.5	10	10	-0.9	1.0897989454672	1.07813946474818	0.00287887199442982	0.0037107883691745
"151"	1000	30	0.5	10	0.1	0	0.110356831223904	-0.068642668677172	0.00580810163182631	0.00558944531353511
"152"	1000	30	0.5	10	0.1	0.5	0.179438482168379	-0.149429444041886	0.00295279145005084	0.00744106224188626
"153"	1000	30	0.5	10	0.1	0.9	0.692486005385656	-0.678079386792292	0.00557994598348669	0.00364831637614204
"154"	1000	30	0.5	10	0.1	-0.5	0.0612096410504991	-0.034071756227629	0.00600355900990152	0.00433718364814067
"155"	1000	30	0.5	10	0.1	-0.9	0.0284730227334996	-0.0661831121783374	0.00279208137176627	0.00362807441634681
"156"	1000	30	0.5	1	1	0	-0.00803093172376465	0.00505341548378788	0.00222750251212842	0.00586171393954074
"157"	1000	30	0.5	1	1	0.5	-0.00711354716874403	-0.00861839602731106	0.00461277913195241	0.00557313867372739
"158"	1000	30	0.5	1	1	0.9	-0.0277228859562574	-0.024099250704723	0.00269496609401981	0.00358071207284191
"159"	1000	30	0.5	1	1	-0.5	-0.00316607321371388	-0.00898045772316392	0.0025521941517903	0.00403006891398695
"160"	1000	30	0.5	1	1	-0.9	0.000895537368306264	-0.00346789668650826	0.00498070329959308	0.00150156897530355
"161"	1000	40	0.9	10	1	0	0.0971116686541171	0.0534846640569767	0.00335889463521296	0.00456639242605883
"162"	1000	40	0.9	10	1	0.5	0.0748473334834695	0.0157985723808287	0.0041381497147047	0.00441650873373075
"163"	1000	40	0.9	10	1	0.9	0.193862802816543	-0.107575840197561	0.00562106589489508	0.00550227578546748
"164"	1000	40	0.9	10	1	-0.5	0.222930141118067	0.214968842841403	0.00181480601849159	0.00310607250463195
"165"	1000	40	0.9	10	1	-0.9	0.666785290691175	0.653333760683973	0.00158860791928923	0.00254573918231205
"166"	1000	40	0.9	10	10	0	0.190421664828614	0.158690998677952	0.00576619836465373	0.00659568512960958
"167"	1000	40	0.9	10	10	0.5	0.113471136791195	0.122779109085976	0.00432111755343806	0.00459761639553487
"168"	1000	40	0.9	10	10	0.9	0.0923309524884673	0.101467760388888	0.00640541396500738	0.00444392170695717
"169"	1000	40	0.9	10	10	-0.5	0.382832231542976	0.371532998363125	0.00334584894294785	0.00329522400703217
"170"	1000	40	0.9	10	10	-0.9	1.33465878880681	1.32761668026592	0.00327597946266995	0.00333457086491986
"171"	1000	40	0.9	10	0.1	0	0.0342565977346051	-0.0278727376193219	0.00426296777606339	0.00382251985843102
"172"	1000	40	0.9	10	0.1	0.5	0.0611249162782917	-0.0719481997805234	0.00482091104180068	0.00431558276454135
"173"	1000	40	0.9	10	0.1	0.9	0.2728561897095	-0.309923840535353	0.0069295606558998	0.00742449662824818
"174"	1000	40	0.9	10	0.1	-0.5	0.0433175106735252	-0.0292530994469455	0.0033992379739297	0.00415430135647837
"175"	1000	40	0.9	10	0.1	-0.9	-0.0116429205098972	-0.020272367267131	0.00210984310938129	0.00271476823250971
"176"	1000	40	0.9	1	1	0	-0.0101507927390392	-0.0193228929911015	0.00231226159520084	0.00154077559192212
"177"	1000	40	0.9	1	1	0.5	-0.0152001547750104	-0.00586062216313679	0.00331438027978718	0.00292924978467594
